Isolate,prediction by LogR,prediction by gNB,prediction by SVM,prediction by DT,prediction by RF,prediction by KNN,prediction by LDA,prediction by mNB,prediction by ABC,prediction by GBC,prediction by ETC,prediction by BC
SAMN19845204,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845205,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845206,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845207,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845208,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845209,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845210,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845211,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845212,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845213,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845214,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845215,0,1,1,1,1,1,0,1,0,1,1,1
SAMN19845216,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845217,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845218,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845219,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845220,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845221,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845222,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845223,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845224,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845225,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845226,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845227,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845228,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845229,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845230,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845231,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845232,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845233,1,1,1,1,1,1,1,1,1,1,1,1
